text,category
"java python spring boot api backend",Developer
"react node javascript frontend backend api",Developer
"c++ algorithms data structures coding",Developer
"python django rest api development",Developer
"full stack developer html css js react",Developer
"software engineer java microservices docker",Developer
"git github version control linux",Developer
"typescript angular web development",Developer
"debugging testing unit testing code",Developer
"oop object oriented programming java",Developer

"team leadership project management kpi",Manager
"business strategy planning execution",Manager
"manage team deliver project on time",Manager
"stakeholder communication roadmap planning",Manager
"risk management budgeting planning",Manager
"scrum master agile management",Manager
"product manager roadmap strategy",Manager
"team coordination leadership skills",Manager
"project deadlines and execution",Manager
"organizational leadership and planning",Manager

"figma ux ui design prototype",Designer
"user experience research wireframe",Designer
"adobe photoshop illustrator design",Designer
"ui ux design mobile app interface",Designer
"design system usability testing",Designer
"creative design branding typography",Designer
"interaction design user flow",Designer
"wireframing prototyping figma tools",Designer
"visual design color layout",Designer
"accessibility user interface design",Designer

"machine learning python pandas model",Data scientist
"deep learning neural network tensorflow",Data scientist
"data analysis numpy pandas statistics",Data scientist
"classification regression models",Data scientist
"nlp text processing machine learning",Data scientist
"feature engineering dataset preprocessing",Data scientist
"data visualization tableau powerbi",Data scientist
"python sklearn model training",Data scientist
"big data hadoop spark analytics",Data scientist
"predictive modeling data science",Data scientist

"recruitment onboarding payroll hr",HR
"employee engagement training hr policies",HR
"talent acquisition hiring interviews",HR
"human resources compliance payroll",HR
"workforce management hr operations",HR
"employee relations grievance handling",HR
"hr analytics performance review",HR
"organizational development hr",HR
"benefits compensation hr policies",HR
"hris systems recruitment process",HR

"seo marketing campaign social media",Marketing
"digital marketing google ads analytics",Marketing
"content marketing social media growth",Marketing
"email marketing campaign strategy",Marketing
"brand awareness marketing strategy",Marketing
"ppc advertising google ads campaign",Marketing
"market research customer segmentation",Marketing
"influencer marketing social media",Marketing
"lead generation conversion funnel",Marketing
"online marketing seo optimization",Marketing
